"maximumDepthInMeters"	"magnification"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"identificationRemarks"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"lifeStage"
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	5178.24435797665	4	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	258.912217898833	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. 7-10um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"	"Gymnodinium sp. 7-10um"	"Occurrence"	15534.73307393	12	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	776.736653696498	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. 10-20um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"	"Gymnodinium sp. 10-20um"	"Occurrence"	10356.4887159533	8	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	517.824435797665	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Gyrodinium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	7767.36653696498	6	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	388.368326848249	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Leucocryptos marina"		2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	1294.56108949416	1	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	64.7280544747082	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Prorocentrum"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	9061.92762645915	7	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	453.096381322957	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Protoperidinium ovatum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-7"		"Occurrence"	1294.56108949416	1	0.000772462580650203	"l"	"present"	"verified"	257	16635.11	50	1000	1	64.7280544747082	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	4475.81434977579	3	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	223.790717488789	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Dinobryon"	"cyst"	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"	"Dinobryon spp. cyst"	"Occurrence"	1491.93811659193	1	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	74.5969058295964	"Niskin bottle"	"phytoplankton"	"spp."	"species"	"cyst"
5	60	5	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	11935.5049327354	8	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	596.775246636771	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"7-10um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"	"Flagellatae"	"Occurrence"	8951.62869955157	6	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	447.581434977579	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"	"Flagellatae"	"Occurrence"	7459.69058295964	5	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	372.984529147982	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	10443.5668161435	7	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	522.178340807175	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	5967.75246636771	4	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	298.387623318386	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Gymnodinium simplex"		2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	1491.93811659193	1	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	74.5969058295964	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. 20-30um"	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"	"Gymnodinium sp. 20-30um"	"Occurrence"	1491.93811659193	1	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	74.5969058295964	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"		2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	8951.62869955157	6	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	447.581434977579	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Leucocryptos marina"		2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	1491.93811659193	1	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	74.5969058295964	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Prorocentrum"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	2983.87623318386	2	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	149.193811659193	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	1491.93811659193	1	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	74.5969058295964	"Niskin bottle"	"phytoplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Pyramimonas"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-10"		"Occurrence"	1491.93811659193	1	0.000670269087490254	"l"	"present"	"verified"	223	16635.11	50	1000	1	74.5969058295964	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
0	60		"iopan.pl"	"cells/l"	"Dinobryon"	"cyst"	2009	"Alkekonge2009"	"KB5"	"ALK09-13"	"Dinobryon spp. cyst"	"Occurrence"	1618.98880778589	2	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	80.9494403892944	"Niskin bottle"	"phytoplankton"	"spp."	"species"	"cyst"
0	60		"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"7-10um"	2009	"Alkekonge2009"	"KB5"	"ALK09-13"	"Flagellatae"	"Occurrence"	809.494403892944	1	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	40.4747201946472	"Niskin bottle"	"phytoplankton"			
0	60		"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"KB5"	"ALK09-13"		"Occurrence"	3237.97761557178	4	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	161.898880778589	"Niskin bottle"	"phytoplankton"			
0	60		"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2009	"Alkekonge2009"	"KB5"	"ALK09-13"		"Occurrence"	1618.98880778589	2	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	80.9494403892944	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
0	60		"iopan.pl"	"cells/l"	"Leucocryptos marina"		2009	"Alkekonge2009"	"KB5"	"ALK09-13"		"Occurrence"	809.494403892944	1	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	40.4747201946472	"Niskin bottle"	"phytoplankton"			
0	60		"iopan.pl"	"cells/l"	"Pyramimonas"	"sp."	2009	"Alkekonge2009"	"KB5"	"ALK09-13"		"Occurrence"	809.494403892944	1	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	40.4747201946472	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
0	60		"iopan.pl"	"cells/l"	"Thalassiosira"	"sp."	2009	"Alkekonge2009"	"KB5"	"ALK09-13"		"Occurrence"	809.494403892944	1	0.0012353389908452664	"l"	"present"	"verified"	411	16635.11	50	1000	1	40.4747201946472	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
20	60	20	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-16"		"Occurrence"	567.106022727273	9	0.015870048349545026	"l"	"present"	"verified"	220	16635.11	10	250	30	680.527227272727	"Niskin bottle"	"microplankton"	"sp."	"species"	
20	60	20	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-16"		"Occurrence"	126.023560606061	2	0.015870048349545026	"l"	"present"	"verified"	220	16635.11	10	250	30	151.228272727273	"Niskin bottle"	"microplankton"			
20	60	20	"iopan.pl"	"cells/l"	"Protoperidinium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-16"		"Occurrence"	63.0117803030303	1	0.015870048349545026	"l"	"present"	"verified"	220	16635.11	10	250	30	75.6141363636364	"Niskin bottle"	"microplankton"	"sp."	"species"	
20	60	20	"iopan.pl"	"cells/l"	"Protoperidinium cerasus"		2009	"Alkekonge2009"	"Kb5"	"ALK09-16"		"Occurrence"	63.0117803030303	1	0.015870048349545026	"l"	"present"	"verified"	220	16635.11	10	250	30	75.6141363636364	"Niskin bottle"	"microplankton"			
20	60	20	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-16"		"Occurrence"	693.129583333333	11	0.015870048349545026	"l"	"present"	"verified"	220	16635.11	10	250	30	831.7555	"Niskin bottle"	"microplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	697.001815642458	9	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	836.40217877095	"Niskin bottle"	"microplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Dinophysis acuminata"		2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	309.778584729981	4	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	371.734301675978	"Niskin bottle"	"microplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	77.4446461824954	1	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	92.9335754189944	"Niskin bottle"	"microplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Parafavella"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	77.4446461824954	1	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	92.9335754189944	"Niskin bottle"	"microplankton"	"sp."	"species"	
5	60	5	"iopan.pl"	"cells/l"	"Protoperidinium bipes"		2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	77.4446461824954	1	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	92.9335754189944	"Niskin bottle"	"microplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Protoperidinium brevipes"		2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	619.557169459963	8	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	743.468603351955	"Niskin bottle"	"microplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	2091.00544692737	27	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	2509.20653631285	"Niskin bottle"	"microplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	232.333938547486	3	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	278.800726256983	"Niskin bottle"	"microplankton"			
5	60	5	"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-17"		"Occurrence"	774.446461824953	10	0.012912448429857091	"l"	"present"	"verified"	179	16635.11	10	250	30	929.335754189944	"Niskin bottle"	"microplankton"	"sp."	"species"	
0	60		"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-18"		"Occurrence"	220.041137566138	3	0.013633814263927319	"l"	"present"	"verified"	189	16635.11	10	250	30	264.049365079365	"Niskin bottle"	"microplankton"	"sp."	"species"	
0	60		"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-18"		"Occurrence"	73.3470458553792	1	0.013633814263927319	"l"	"present"	"verified"	189	16635.11	10	250	30	88.016455026455	"Niskin bottle"	"microplankton"			
0	60		"iopan.pl"	"cells/l"	"Protoperidinium pallidum"		2009	"Alkekonge2009"	"Kb5"	"ALK09-18"		"Occurrence"	220.041137566138	3	0.013633814263927319	"l"	"present"	"verified"	189	16635.11	10	250	30	264.049365079365	"Niskin bottle"	"microplankton"			
0	60		"iopan.pl"	"cells/l"	"Tintinnopsis"	"sp."	2009	"Alkekonge2009"	"Kb5"	"ALK09-18"		"Occurrence"	73.3470458553792	1	0.013633814263927319	"l"	"present"	"verified"	189	16635.11	10	250	30	88.016455026455	"Niskin bottle"	"microplankton"	"sp."	"species"	
50	60	50	"iopan.pl"	"cells/l"	"Dinobryon"	"cyst"	2009	"Alkekonge2009"	"Kb4"	"ALK09-25"	"Dinobryon spp. cyst"	"Occurrence"	1655.23482587065	1	0.0006041438860338164	"l"	"present"	"verified"	201	16635.11	50	1000	1	82.7617412935323	"Niskin bottle"	"phytoplankton"	"spp."	"species"	"cyst"
50	60	50	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2009	"Alkekonge2009"	"Kb4"	"ALK09-25"		"Occurrence"	3310.46965174129	2	0.0006041438860338164	"l"	"present"	"verified"	201	16635.11	50	1000	1	165.523482587065	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
50	60	50	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"Kb4"	"ALK09-25"	"Flagellatae"	"Occurrence"	6620.93930348259	4	0.0006041438860338164	"l"	"present"	"verified"	201	16635.11	50	1000	1	331.046965174129	"Niskin bottle"	"phytoplankton"			
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"Kb4"	"ALK09-25"		"Occurrence"	21518.0527363184	13	0.0006041438860338164	"l"	"present"	"verified"	201	16635.11	50	1000	1	1075.90263681592	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
50	60	50	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb4"	"ALK09-25"		"Occurrence"	1655.23482587065	1	0.0006041438860338164	"l"	"present"	"verified"	201	16635.11	50	1000	1	82.7617412935323	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	3230.11844660194	2	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	161.505922330097	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
25	60	25	"iopan.pl"	"cells/l"	"Dinobryon"	"cyst"	2009	"Alkekonge2009"	"Kb4"	"ALK09-28"	"Dinobryon spp. cyst"	"Occurrence"	4845.17766990291	3	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	242.258883495146	"Niskin bottle"	"phytoplankton"	"spp."	"species"	"cyst"
25	60	25	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	8075.29611650486	5	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	403.764805825243	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
25	60	25	"iopan.pl"	"cells/l"	"Emiliania huxleyi"		2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	1615.05922330097	1	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	80.7529611650486	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"Kb4"	"ALK09-28"	"Flagellatae"	"Occurrence"	1615.05922330097	1	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	80.7529611650486	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	4845.17766990291	3	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	242.258883495146	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
25	60	25	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"		2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	1615.05922330097	1	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	80.7529611650486	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Heterocapsa rotundata"		2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	1615.05922330097	1	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	80.7529611650486	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Katodinium glaucum"		2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	1615.05922330097	1	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	80.7529611650486	"Niskin bottle"	"phytoplankton"			
25	60	25	"iopan.pl"	"cells/l"	"Prorocentrum"	"sp."	2009	"Alkekonge2009"	"Kb4"	"ALK09-28"		"Occurrence"	27456.0067961165	17	0.0006191723409102795	"l"	"present"	"verified"	206	16635.11	50	1000	1	1372.80033980583	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Alexandrium"	"sp."	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"		"Occurrence"	1533.18986175115	1	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	76.6594930875576	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Dinobryon"	"cyst"	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"	"Dinobryon spp. cyst"	"Occurrence"	1533.18986175115	1	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	76.6594930875576	"Niskin bottle"	"phytoplankton"	"spp."	"species"	"cyst"
10	60	10	"iopan.pl"	"cells/l"	"Cryptomonas"	"sp."	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"		"Occurrence"	9199.13917050691	6	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	459.956958525346	"Niskin bottle"	"phytoplankton"	"sp."	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Dinophysis acuminata"		2009	"Alkekonge2009"	"Kb4"	"ALK09-31"		"Occurrence"	1533.18986175115	1	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	76.6594930875576	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"7-10um"	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"	"Flagellatae"	"Occurrence"	6132.75944700461	4	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	306.63797235023	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	"3-7um"	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"	"Flagellatae"	"Occurrence"	3066.3797235023	2	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	153.318986175115	"Niskin bottle"	"phytoplankton"			
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.arcticum"	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"		"Occurrence"	1533.18986175115	1	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	76.6594930875576	"Niskin bottle"	"phytoplankton"	"sp. cf. G. arcticum"	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.gracilentum"	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"		"Occurrence"	32196.9870967742	21	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	1609.84935483871	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"species"	
10	60	10	"iopan.pl"	"cells/l"	"Gymnodinium"	"sp. cf g.wulffii"	2009	"Alkekonge2009"	"Kb4"	"ALK09-31"		"Occurrence"	4599.56958525346	3	0.0006522349416384983	"l"	"present"	"verified"	217	16635.11	50	1000	1	229.978479262673	"Niskin bottle"	"phytoplankton"	"sp. cf. G. wulffii"	"species"	
