"maximumDepthInMeters"	"magnification"	"minimumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"identificationRemarks"	"taxonRank"	"previousIdentifications"	"lifeStage"
17	10	17	"iopan.pl"	"cells/l"	"Chaetoceros furcellatus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	426.155303030303	50	0.11732811875027777	"l"	"present"	"verified"	44	450.02	10	250	30	511.386363636364	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Corethron"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	6.35621468926554	1	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	7.62745762711864	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
17	40	17	"iopan.pl"	"cells/l"	"Ceratoneis closterium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	128.471897810219	3	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	154.166277372263	"Niskin bottle"	"microplankton"		"old Cylindrotheca closterium"			
17	40	17	"iopan.pl"	"cells/l"	"Eucampia groenlandica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	256.943795620438	6	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	308.332554744526	"Niskin bottle"	"microplankton"					
17	40	17	"iopan.pl"	"cells/l"	"Gymnodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	128.471897810219	3	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	154.166277372263	"Niskin bottle"	"microplankton"	"sp."	"sp. 20-30um"	"species"	"Gymnodinium sp. 20-30um"	
17	10	17	"iopan.pl"	"cells/l"	"Leegaardiella sol"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	12.7124293785311	2	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	15.2549152542373	"Niskin bottle"	"microplankton"					
17	40	17	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	85.6479318734793	2	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	102.777518248175	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Prorodon"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	6.35621468926554	1	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	7.62745762711864	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
17	10	17	"iopan.pl"	"cells/l"	"Protoperidinium cerasus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	6.35621468926554	1	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	7.62745762711864	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	19.0686440677966	3	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	22.8823728813559	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Ptychocylis obtusa"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	6.35621468926554	1	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	7.62745762711864	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Rhizosolenia borealis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	19.0686440677966	3	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	22.8823728813559	"Niskin bottle"	"microplankton"					
17	10	17	"iopan.pl"	"cells/l"	"Strombidium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	12.7124293785311	2	0.15732634105150883	"l"	"present"	"verified"	59	450.02	10	250	30	15.2549152542373	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
17	40	17	"iopan.pl"	"cells/l"	"Thalassiosira"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	42.8239659367397	1	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	51.3887591240876	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
17	40	17	"iopan.pl"	"cells/l"	"Thalassiosira nordenskioeldii"	2009	"MERCLIM-2009"	"V6"	"MER09-01-7"	"Occurrence"	171.295863746959	4	0.023351410317232604	"l"	"present"	"verified"	137	7040.26	10	250	30	205.55503649635	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	13.4334328358209	12	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	80.6005970149254	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Alexandrium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	2.23890547263682	2	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	13.4334328358209	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
25	10	25	"iopan.pl"	"cells/l"	"Chaetoceros concavicornis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	3.35835820895522	3	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	20.1501492537313	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Chaetoceros curvisetus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	125.005555555556	50	0.39998222301231057	"l"	"present"	"verified"	30	450.02	50	250	30	750.033333333333	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Chaetoceros debilis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	312.513888888889	50	0.15999288920492422	"l"	"present"	"verified"	12	450.02	50	250	30	1875.08333333333	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Chaetoceros decipiens"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	1.11945273631841	1	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	6.71671641791045	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Chaetoceros furcellatus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	52.6142786069652	47	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	315.685671641791	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Corethron"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	1.11945273631841	1	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	6.71671641791045	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
25	40	25	"iopan.pl"	"cells/l"	"Eucampia groenlandica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	13.7237037037037	2	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	82.3422222222222	"Niskin bottle"	"microplankton"					
25	40	25	"iopan.pl"	"cells/l"	"Gymnodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	6.86185185185185	1	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	41.1711111111111	"Niskin bottle"	"microplankton"	"sp."	"sp. 20-30um"	"species"	"Gymnodinium sp. 20-30um"	
25	10	25	"iopan.pl"	"cells/l"	"Leegaardiella sol"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	2.23890547263682	2	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	13.4334328358209	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	2.23890547263682	2	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	13.4334328358209	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Mesodinium rubrum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	2.23890547263682	2	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	13.4334328358209	"Niskin bottle"	"microplankton"					
25	40	25	"iopan.pl"	"cells/l"	"Protoperidinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	6.86185185185185	1	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	41.1711111111111	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
25	40	25	"iopan.pl"	"cells/l"	"Protoperidinium pallidum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	6.86185185185185	1	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	41.1711111111111	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	1.11945273631841	1	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	6.71671641791045	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Rhizosolenia borealis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	4.47781094527363	4	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	26.8668656716418	"Niskin bottle"	"microplankton"					
25	10	25	"iopan.pl"	"cells/l"	"Strombidium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	2.23890547263682	2	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	13.4334328358209	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
25	40	25	"iopan.pl"	"cells/l"	"Thalassiosira"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	13.7237037037037	2	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	82.3422222222222	"Niskin bottle"	"microplankton"	"sp."	"sp."	"species"		
25	10	25	"iopan.pl"	"cells/l"	"Thalassiosira"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	3.35835820895522	3	0.8932936313941603	"l"	"present"	"verified"	67	450.02	50	250	30	20.1501492537313	"Niskin bottle"	"microplankton"	"sp."	"sp. mała"	"species"	"Thalassiosira sp. <10um"	
25	40	25	"iopan.pl"	"cells/l"	"Thalassiosira nordenskioeldii"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	34.3092592592593	5	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	205.855555555556	"Niskin bottle"	"microplankton"					
25	40	25	"iopan.pl"	"cells/l"	"Torodinium robustum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-8"	"Occurrence"	6.86185185185185	1	0.14573325416959032	"l"	"present"	"verified"	171	7040.26	50	250	30	41.1711111111111	"Niskin bottle"	"microplankton"					
0	10		"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	200.008888888889	2	0.009999555575307765	"l"	"present"	"verified"	90	450.02	50	1000	1	10.0004444444444	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Alexandrium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	3200.11818181818	4	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	160.005909090909	"Niskin bottle"	"phytoplankton"	"sp."	"sp."	"species"		
0	40		"iopan.pl"	"cells/l"	"Algirosphaera robusta"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	8800.325	11	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	440.01625	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	6400.23636363636	8	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	320.011818181818	"Niskin bottle"	"phytoplankton"		"3-7um"		"Biflagellatae"	
0	40		"iopan.pl"	"cells/l"	"Calliacantha natans"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	1600.05909090909	2	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	80.0029545454546	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Chaetoceros curvisetus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	4800.17727272727	6	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	240.008863636364	"Niskin bottle"	"phytoplankton"					
0	10		"iopan.pl"	"cells/l"	"Chaetoceros debilis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	5113.86363636364	50	0.009777343229189814	"l"	"present"	"verified"	88	450.02	50	1000	1	255.693181818182	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Chaetoceros furcellatus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	800.029545454546	1	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	40.0014772727273	"Niskin bottle"	"phytoplankton"					
0	10		"iopan.pl"	"cells/l"	"Chaetoceros laciniosus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	1000.04444444444	10	0.009999555575307765	"l"	"present"	"verified"	90	450.02	50	1000	1	50.0022222222222	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Chaetoceros socialis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	800.029545454546	1	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	40.0014772727273	"Niskin bottle"	"phytoplankton"					
0	10		"iopan.pl"	"cells/l"	"Ciliophora"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	100.004444444444	1	0.009999555575307765	"l"	"present"	"verified"	90	450.02	50	1000	1	5.00022222222222	"Niskin bottle"	"phytoplankton"	"indet."	"Non det. 40-50um"		"Ciliophora non det Non det. 40-50um"	
0	40		"iopan.pl"	"cells/l"	"Coccolithales"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	28001.0340909091	35	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	1400.05170454545	"Niskin bottle"	"phytoplankton"	"indet."	"Non det."		"Coccolithales  Non det."	
0	40		"iopan.pl"	"cells/l"	"Cryptomonas"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	70402.6	50	0.0007102010437114538	"l"	"present"	"verified"	100	7040.26	50	1000	1	3520.13	"Niskin bottle"	"phytoplankton"	"sp."	"sp."	"species"		
0	40		"iopan.pl"	"cells/l"	"Ceratoneis closterium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	800.029545454546	1	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	40.0014772727273	"Niskin bottle"	"phytoplankton"		"old Cylindrotheca closterium"			
0	40		"iopan.pl"	"cells/l"	"Eucampia groenlandica"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	2400.08863636364	3	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	120.004431818182	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	3200.11818181818	4	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	160.005909090909	"Niskin bottle"	"phytoplankton"		">7um"		"Flagellatae"	
0	40		"iopan.pl"	"cells/l"	"Eukaryota incertae sedis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	17600.65	22	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	880.0325	"Niskin bottle"	"phytoplankton"		"3-7um"		"Flagellatae"	
0	10		"iopan.pl"	"cells/l"	"Fragilariopsis cylindrus"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	1000.04444444444	10	0.009999555575307765	"l"	"present"	"verified"	90	450.02	50	1000	1	50.0022222222222	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Fragilariopsis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	3200.11818181818	4	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	160.005909090909	"Niskin bottle"	"phytoplankton"	"sp."	"sp."	"species"		
0	40		"iopan.pl"	"cells/l"	"Gymnodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	24000.8863636364	30	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	1200.04431818182	"Niskin bottle"	"phytoplankton"	"sp. cf. G. gracilentum"	"sp. cf g.gracilentum"	"species"		
0	40		"iopan.pl"	"cells/l"	"Gymnodinium galeatum"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	5600.20681818182	7	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	280.010340909091	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Gymnodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	3200.11818181818	4	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	160.005909090909	"Niskin bottle"	"phytoplankton"	"sp."	"sp. 30-40um"	"species"	"Gymnodinium sp. 30-40um"	
0	40		"iopan.pl"	"cells/l"	"Gymnodinium wulffii"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	3200.11818181818	4	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	160.005909090909	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Gymnodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	2400.08863636364	3	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	120.004431818182	"Niskin bottle"	"phytoplankton"	"sp. „z dupką”"	"sp. „z dupką”"	"species"		
0	40		"iopan.pl"	"cells/l"	"Gyrodinium fusiforme"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	3200.11818181818	4	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	160.005909090909	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Gyrodinium"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	800.029545454546	1	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	40.0014772727273	"Niskin bottle"	"phytoplankton"	"sp."	"sp."	"species"		
0	40		"iopan.pl"	"cells/l"	"Heterocapsa rotundata"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	12800.4727272727	16	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	640.023636363636	"Niskin bottle"	"phytoplankton"					
0	10		"iopan.pl"	"cells/l"	"Leegaardiella sol"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	300.013333333333	3	0.009999555575307765	"l"	"present"	"verified"	90	450.02	50	1000	1	15.0006666666667	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Leucocryptos marina"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	4800.17727272727	6	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	240.008863636364	"Niskin bottle"	"phytoplankton"					
0	10		"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	100.004444444444	1	0.009999555575307765	"l"	"present"	"verified"	90	450.02	50	1000	1	5.00022222222222	"Niskin bottle"	"phytoplankton"					
0	40		"iopan.pl"	"cells/l"	"Mamiella"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	800.029545454546	1	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	40.0014772727273	"Niskin bottle"	"phytoplankton"	"sp."	"sp."	"species"	"Mamiella  sp."	
0	40		"iopan.pl"	"cells/l"	"Monosiga marina"	2009	"MERCLIM-2009"	"V6"	"MER09-01-9"	"Occurrence"	4000.14772727273	5	0.0012499538369321586	"l"	"present"	"verified"	176	7040.26	50	1000	1	200.007386363636	"Niskin bottle"	"phytoplankton"					
