"maximumDepthInMeters"	"magnification"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"previousIdentifications"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"occurrenceRemarks"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"identificationQualifier"	"taxonRank"	"lifeStage"	"minimumDepthInMeters"	"organismRemarks"	"organismScope"	"verbatimTaxon"
0	10	"MR"	"cells/l"	"Navicula"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	119.137037	1	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	5.956851852	"Niskin bottle"	"phytoplankton"	"sp. cf. N. gelida"	"species"					
0	10	"MR"	"cells/l"	"Navicula"	2014	"ICE2014"	"R4b"	"PHT-100"	"Navicula sp. < 50um"	"Occurrence"	1429.644444	12	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	71.48222222	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	10	"MR"	"cells/l"	"Nitzschia frigida"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	2263.603704	19	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	113.1801852	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Nitzschia laevissima"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	595.6851852	5	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	29.78425926	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Pseudo-nitzschia"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	6980.923404	51	0.007306986723049656	"l"	"present"	0.5	"verified"	47	321.61	50	1000	1	349.0461702	"Niskin bottle"	"phytoplankton"	"sp. cf. P.granii"	"species"					
0	10	"MR"	"cells/l"	"Pseudo-nitzschia"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	953.0962963	8	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	47.65481481	"Niskin bottle"	"phytoplankton"	"sp. cf. P. pseudodelicatissima"	"species"					
0	10	"MR"	"cells/l"	"Pseudo-nitzschia"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	1072.233333	9	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	53.61166667	"Niskin bottle"	"phytoplankton"	"sp. cf. P.seriata"	"species"					
0	60	"MR"	"cells/l"	"Pseudo-nitzschia"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	21564.03148	7	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1078.201574	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	10	"MR"	"cells/l"	"Synedropsis hyperborea"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	595.6851852	5	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	29.78425926	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Pennales"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	21564.03148	7	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1078.201574	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Alexandrium"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	6161.151852	2	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	308.0575926	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Azadinium spinosum"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	24644.60741	8	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1232.23037	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Gymnodinium gracilentum"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	3080.575926	1	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	154.0287963	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	3080.575926	1	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	154.0287963	"Niskin bottle"	"phytoplankton"	"sp. cf. G.simplex"	"species"					
0	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-100"	"Gymnodinium  sp. <10um"	"Occurrence"	9241.727778	3	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	462.0863889	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-100"	"Gymnodinium sp. 10-20um"	"Occurrence"	70853.2463	23	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	3542.662315	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	10	"MR"	"cells/l"	"Gyrodinium"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	1072.233333	9	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	53.61166667	"Niskin bottle"	"phytoplankton"	"sp. cf. G.fusiforme"	"species"					
0	10	"MR"	"cells/l"	"Gyrodinium"	2014	"ICE2014"	"R4b"	"PHT-100"	"Gyrodinium sp. >20um"	"Occurrence"	833.9592593	7	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	41.69796296	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	10	"MR"	"cells/l"	"Micracanthodinium claytonii"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	238.2740741	2	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	11.9137037	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Peridiniella"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	476.5481481	4	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	23.82740741	"Niskin bottle"	"phytoplankton"	"cf. catenata"						
0	10	"MR"	"cells/l"	"Protoperidinium bipes"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	1548.781481	13	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	77.43907407	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Protoperidinium"	2014	"ICE2014"	"R4b"	"PHT-100"	"Protoperidinium pallidum/pellucidum"	"Occurrence"	476.5481481	4	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	23.82740741	"Niskin bottle"	"phytoplankton"	"spp. pallidum/pellucidum"	"species"					
0	10	"MR"	"cells/l"	"Protoperidinium"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	238.2740741	2	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	11.9137037	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	10	"MR"	"cells/l"	"Polarella glacialis"	2014	"ICE2014"	"R4b"	"PHT-100"	"Polarella glacialis cyst"	"Occurrence"	643340	100	0.0001554678026180778	"l"	"present"	0.5	"verified"	1	321.61	50	1000	1	32167	"Niskin bottle"	"phytoplankton"			"cyst"				
0	60	"MR"	"cells/l"	"Polarella glacialis"	2014	"ICE2014"	"R4b"	"PHT-100"	"Polarella glacialis cyst"	"Occurrence"	80094.97407	26	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	4004.748704	"Niskin bottle"	"phytoplankton"			"cyst"				
0	60	"MR"	"cells/l"	"Dinophyceae"	2014	"ICE2014"	"R4b"	"PHT-100"	"Dinophyceae indet. cyst"	"Occurrence"	70853.2463	23	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	3542.662315	"Niskin bottle"	"phytoplankton"	"indet."		"cyst"				
0	10	"MR"	"cells/l"	"Anisonema"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	119.137037	1	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	5.956851852	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2014	"ICE2014"	"R4b"	"PHT-100"	"Flagellatae"	"Occurrence"	24644.60741	8	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1232.23037	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2014	"ICE2014"	"R4b"	"PHT-100"	"Flagellatae"	"Occurrence"	144787.0685	47	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	7239.353426	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2014	"ICE2014"	"R4b"	"PHT-100"	"Flagellatae"	"Occurrence"	117061.8852	38	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	5853.094259	"Niskin bottle"	"phytoplankton"	"indet."						
0	10	"MR"	"cells/l"	"Lohmanniella oviformis"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	714.8222222	6	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	35.74111111	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Dinobryon balticum"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	49289.21481	16	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	2464.460741	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Dinobryon faculiferum"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	104739.5815	34	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	5236.979074	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Dinobryon"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	27725.18333	9	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1386.259167	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Chrysophyceae"	2014	"ICE2014"	"R4b"	"PHT-100"	"Chrysophyceae indet. cyst"	"Occurrence"	86256.12593	28	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	4312.806296	"Niskin bottle"	"phytoplankton"	"indet."		"cyst"				
0	60	"MR"	"cells/l"	"Cryptomonas"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	33886.33519	11	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1694.316759	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Plagioselmis"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	6161.151852	2	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	308.0575926	"Niskin bottle"	"phytoplankton"	"sp."	"species"					
0	60	"MR"	"cells/l"	"Cryptophyceae"	2014	"ICE2014"	"R4b"	"PHT-100"	"Cryptophyceae indet. 6-10um"	"Occurrence"	30805.75926	10	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1540.287963	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Cryptophyceae"	2014	"ICE2014"	"R4b"	"PHT-100"	"Cryptophyceae indet. 11-15um"	"Occurrence"	30805.75926	10	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1540.287963	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Prasinophyceae"	2014	"ICE2014"	"R4b"	"PHT-100"	"Prasinophyceae indet. 6-10um"	"Occurrence"	9241.727778	3	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	462.0863889	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Algirosphaera robusta"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	3080.575926	1	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	154.0287963	"Niskin bottle"	"phytoplankton"							
0	60	"MR"	"cells/l"	"Coccolithales"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	24644.60741	8	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	1232.23037	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Coccolithales"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	585096.9724	51	0.00008716503828348594	"l"	"present"	0.5	"verified"	29	16635.11	50	1000	1	29254.84862	"Niskin bottle"	"phytoplankton"	"indet."						
0	10	"MR"	"cells/l"	"Ciliophora"	2014	"ICE2014"	"R4b"	"PHT-100"	"Ciliophora indet. >30um"	"Occurrence"	476.5481481	4	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	23.82740741	"Niskin bottle"	"phytoplankton"	"indet."						
0	10	"MR"	"cells/l"	"Ciliophora"	2014	"ICE2014"	"R4b"	"PHT-100"	"Ciliophora indet. >50um"	"Occurrence"	1787.055556	15	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	89.35277778	"Niskin bottle"	"phytoplankton"	"indet."						
0	60	"MR"	"cells/l"	"Telonema subtilis"	2014	"ICE2014"	"R4b"	"PHT-100"		"Occurrence"	6161.151852	2	0.00032461462533160283	"l"	"present"	0.5	"verified"	108	16635.11	50	1000	1	308.0575926	"Niskin bottle"	"phytoplankton"							
0	10	"MR"	"cells/l"	"Eukaryota"	2014	"ICE2014"	"R4b"	"PHT-100"	"Cell"	"Occurrence"	357.4111111	3	0.0083952613413762	"l"	"present"	0.5	"verified"	54	321.61	50	1000	1	17.87055556	"Niskin bottle"	"phytoplankton"	"incertae sedis"						
9	10	"MR"	"cells/l"	"Chaetoceros concavicornis"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	357.4111111	3	0.0083952613413762	"l"	"present"	9.5	"verified"	54	321.61	50	1000	1	17.87055556	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Chaetoceros convolutus"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	595.6851852	5	0.0083952613413762	"l"	"present"	9.5	"verified"	54	321.61	50	1000	1	29.78425926	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Chaetoceros furcellatus"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	1191.37037	10	0.0083952613413762	"l"	"present"	9.5	"verified"	54	321.61	50	1000	1	59.56851852	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Chaetoceros socialis"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	3518.265625	35	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	175.9132813	"Niskin bottle"	"phytoplankton"				9			
9	60	"MR"	"cells/l"	"Chaetoceros"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	41991.53981	26	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	2099.57699	"Niskin bottle"	"phytoplankton"	"sp. cf. socialis"	"species"		9			
9	10	"MR"	"cells/l"	"Chaetoceros"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	603.13125	6	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	30.1565625	"Niskin bottle"	"phytoplankton"	"sp. cf. socialis"	"species"		9			
9	10	"MR"	"cells/l"	"Cylindrotheca closterium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	100.521875	1	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	5.02609375	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Rhizosolenia semispina"	2014	"ICE2014"	"R4b"	"PHT-099"	"Rhizosolenia hebetata f. semispina"	"Occurrence"	301.565625	3	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	15.07828125	"Niskin bottle"	"phytoplankton"		"form"		9			
9	10	"MR"	"cells/l"	"Thalassiosira antarctica/pacifica"	2014	"ICE2014"	"R4b"	"PHT-099"	"Thalassiosira antarctica\pacyfica"	"Occurrence"	2814.6125	28	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	140.730625	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Thalassiosira"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	703.653125	7	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	35.18265625	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	10	"MR"	"cells/l"	"Pseudo-nitzschia"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	502.609375	5	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	25.13046875	"Niskin bottle"	"phytoplankton"	"sp. cf. P.seriata"	"species"		9			
9	10	"MR"	"cells/l"	"Pseudo-nitzschia"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	502.609375	5	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	25.13046875	"Niskin bottle"	"phytoplankton"	"cf. turgidula"			9			
9	60	"MR"	"cells/l"	"Synedropsis hyperborea"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	10396.94375	2	0.0001923642224187276	"l"	"present"	9.5	"verified"	64	16635.11	50	1000	1	519.8471875	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Pennales"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	100.521875	1	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	5.02609375	"Niskin bottle"	"phytoplankton"	"indet."			9			
9	60	"MR"	"cells/l"	"Alexandrium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	1615.059223	1	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	80.75296117	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Azadinium spinosum"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	1615.059223	1	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	80.75296117	"Niskin bottle"	"phytoplankton"				9			
9	60	"MR"	"cells/l"	"Gymnodinium galeatum"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	9690.35534	6	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	484.517767	"Niskin bottle"	"phytoplankton"				9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	14535.53301	9	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	726.7766505	"Niskin bottle"	"phytoplankton"	"sp. cf. G. galeatum"	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium gracilentum"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	8075.296117	5	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	403.7648058	"Niskin bottle"	"phytoplankton"				9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	4845.17767	3	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	242.2588835	"Niskin bottle"	"phytoplankton"	"sp. cf. G.simplex"	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	11305.41456	7	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	565.2707282	"Niskin bottle"	"phytoplankton"	"sp. cf. G. wulffii"	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	3230.118447	2	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	161.5059223	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	1615.059223	1	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	80.75296117	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"	"Gymnodinium  sp. <10um"	"Occurrence"	4845.17767	3	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	242.2588835	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"	"Gymnodinium  sp. 10-20um"	"Occurrence"	17765.65146	11	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	888.2825728	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Gymnodinium"	2014	"ICE2014"	"R4b"	"PHT-099"	"Gymnodinium  20-30um"	"Occurrence"	3230.118447	2	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	161.5059223	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Gyrodinium fusiforme"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	301.565625	3	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	15.07828125	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Gyrodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	502.609375	5	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	25.13046875	"Niskin bottle"	"phytoplankton"	"sp. cf. G.fusiforme"	"species"		9			
9	10	"MR"	"cells/l"	"Gyrodinium spirale"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	301.565625	3	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	15.07828125	"Niskin bottle"	"phytoplankton"				9			
9	60	"MR"	"cells/l"	"Gyrodinium"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	1615.059223	1	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	80.75296117	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Gyrodinium"	2014	"ICE2014"	"R4b"	"PHT-099"	"Gyrodinium  sp. 20-30um"	"Occurrence"	3230.118447	2	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	161.5059223	"Niskin bottle"	"phytoplankton"	"sp."	"species"		9			
9	60	"MR"	"cells/l"	"Protoperidinium bipes"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	1615.059223	1	0.0006191723409102795	"l"	"present"	9.5	"verified"	206	16635.11	50	1000	1	80.75296117	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Protoperidinium pallidum"	2014	"ICE2014"	"R4b"	"PHT-099"		"Occurrence"	201.04375	2	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	10.0521875	"Niskin bottle"	"phytoplankton"				9			
9	10	"MR"	"cells/l"	"Polarella glacialis"	2014	"ICE2014"	"R4b"	"PHT-099"	"Polarella glacialis cyst"	"Occurrence"	2010.4375	20	0.00994993936755698	"l"	"present"	9.5	"verified"	64	321.61	50	1000	1	100.521875	"Niskin bottle"	"phytoplankton"			"cyst"	9			
