"maximumDepthInMeters"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"occurrenceRemarks"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"minimumDepthInMeters"	"identificationQualifier"	"previousIdentifications"	"verbatimTaxon"	"taxonRank"	"organismRemarks"	"magnification"
10	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	270.260504201681	5	0.018500668511551258	"l"	"present"	"sp."	"verified"	119	321.61	50	1000	1	13.513025210084	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Gyrodinium fusiforme"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	54.0521008403361	1	0.018500668511551258	"l"	"present"		"verified"	119	321.61	50	1000	1	2.70260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	54.0521008403361	1	0.018500668511551258	"l"	"present"		"verified"	119	321.61	50	1000	1	2.70260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Phalacroma rotundatum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	54.0521008403361	1	0.018500668511551258	"l"	"present"	"Old Dinophysis rotundata"	"verified"	119	321.61	50	1000	1	2.70260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	54.0521008403361	1	0.018500668511551258	"l"	"present"		"verified"	119	321.61	50	1000	1	2.70260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Protoperidinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	54.0521008403361	1	0.018500668511551258	"l"	"present"	"sp."	"verified"	119	321.61	50	1000	1	2.70260504201681	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	3358.07238095238	4	0.0011911595541206179	"l"	"present"		"verified"	105	4407.47	50	1000	1	167.903619047619	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Gymnodinium gracilentum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	839.518095238095	1	0.0011911595541206179	"l"	"present"		"verified"	105	4407.47	50	1000	1	41.9759047619048	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Cryptophyceae"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	839.518095238095	1	0.0011911595541206179	"l"	"present"	"Non det."	"verified"	105	4407.47	50	1000	1	41.9759047619048	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	839.518095238095	1	0.0011911595541206179	"l"	"present"	"sp. 10-20um"	"verified"	105	4407.47	50	1000	1	41.9759047619048	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Pyramimonas"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	1679.03619047619	2	0.0011911595541206179	"l"	"present"	"sp."	"verified"	105	4407.47	50	1000	1	83.9518095238095	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	3358.07238095238	4	0.0011911595541206179	"l"	"present"	"sp. 5-10um"	"verified"	105	4407.47	50	1000	1	167.903619047619	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Monosiga marina"	2011	"MOSJ2011"	"KB2"	"MOSJ11-98"	"Occurrence"	839.518095238095	1	0.0011911595541206179	"l"	"present"		"verified"	105	4407.47	50	1000	1	41.9759047619048	"Niskin bottle"	"phytoplankton"	10						
25	"iopan.pl"	"cells/l"	"Protoperidinium pyriforme"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	73.9333333333333	1	0.013525698827772766	"l"	"present"		"verified"	87	321.61	50	1000	1	3.69666666666667	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Spirotrichea"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	221.8	3	0.013525698827772766	"l"	"present"		"verified"	87	321.61	50	1000	1	11.09	"Niskin bottle"	"phytoplankton"	25	"indet."	"Spirotrichea non det."				
25	"iopan.pl"	"cells/l"	"Didinium gargantua"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	73.9333333333333	1	0.013525698827772766	"l"	"present"		"verified"	87	321.61	50	1000	1	3.69666666666667	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Foissneridium constrictum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	147.866666666667	2	0.013525698827772766	"l"	"present"	"Old Strombidium constrictum"	"verified"	87	321.61	50	1000	1	7.39333333333333	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Amphidinium sphenoides"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	295.733333333333	4	0.013525698827772766	"l"	"present"		"verified"	87	321.61	50	1000	1	14.7866666666667	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	147.866666666667	2	0.013525698827772766	"l"	"present"	"sp."	"verified"	87	321.61	50	1000	1	7.39333333333333	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Leegaardiella ovalis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	73.9333333333333	1	0.013525698827772766	"l"	"present"		"verified"	87	321.61	50	1000	1	3.69666666666667	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	73.9333333333333	1	0.013525698827772766	"l"	"present"		"verified"	87	321.61	50	1000	1	3.69666666666667	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Gyrodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	73.9333333333333	1	0.013525698827772766	"l"	"present"	"sp."	"verified"	87	321.61	50	1000	1	3.69666666666667	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Gymnodinium gracilentum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	10473.196039604	12	0.0011457820472969753	"l"	"present"		"verified"	101	4407.47	50	1000	1	523.659801980198	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	17455.3267326733	20	0.0011457820472969753	"l"	"present"	"sp. 5-10um"	"verified"	101	4407.47	50	1000	1	872.766336633663	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	22691.9247524752	26	0.0011457820472969753	"l"	"present"	"sp. 10-20um"	"verified"	101	4407.47	50	1000	1	1134.59623762376	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-97"	"Occurrence"	6982.13069306931	8	0.0011457820472969753	"l"	"present"		"verified"	101	4407.47	50	1000	1	349.106534653465	"Niskin bottle"	"phytoplankton"	25						
50	"iopan.pl"	"cells/l"	"Actiniscus pentasterias"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	71.4688888888889	1	0.013992102235627002	"l"	"present"		"verified"	90	321.61	50	1000	1	3.57344444444444	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Strombidium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	71.4688888888889	1	0.013992102235627002	"l"	"present"	"sp."	"verified"	90	321.61	50	1000	1	3.57344444444444	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Mesodinium rubrum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	71.4688888888889	1	0.013992102235627002	"l"	"present"		"verified"	90	321.61	50	1000	1	3.57344444444444	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	71.4688888888889	1	0.013992102235627002	"l"	"present"	"sp."	"verified"	90	321.61	50	1000	1	3.57344444444444	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Spirotrichea"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	142.937777777778	2	0.013992102235627002	"l"	"present"		"verified"	90	321.61	50	1000	1	7.14688888888889	"Niskin bottle"	"phytoplankton"	50	"indet."	"Spirotrichea non det."				
50	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	214.406666666667	3	0.013992102235627002	"l"	"present"		"verified"	90	321.61	50	1000	1	10.7203333333333	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	71.4688888888889	1	0.013992102235627002	"l"	"present"		"verified"	90	321.61	50	1000	1	3.57344444444444	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Chrysophyceae"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	26444.82	27	0.0010209939035319582	"l"	"present"	"cyst"	"verified"	90	4407.47	50	1000	1	1322.241	"Niskin bottle"	"phytoplankton"	50	"indet."	"Chrysophyceae non det."				
50	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	8814.94	9	0.0010209939035319582	"l"	"present"	"sp. 5-10um"	"verified"	90	4407.47	50	1000	1	440.747	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Gymnodinium galeatum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	2938.31333333333	3	0.0010209939035319582	"l"	"present"		"verified"	90	4407.47	50	1000	1	146.915666666667	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	979.437777777778	1	0.0010209939035319582	"l"	"present"	"sp. 10-20um"	"verified"	90	4407.47	50	1000	1	48.9718888888889	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Cryptophyceae"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	979.437777777778	1	0.0010209939035319582	"l"	"present"	"Non det."	"verified"	90	4407.47	50	1000	1	48.9718888888889	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Gymnodinium gracilentum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	1958.87555555556	2	0.0010209939035319582	"l"	"present"		"verified"	90	4407.47	50	1000	1	97.9437777777778	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Amphidinium longum"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	979.437777777778	1	0.0010209939035319582	"l"	"present"		"verified"	90	4407.47	50	1000	1	48.9718888888889	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Grammatophora"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	979.437777777778	1	0.0010209939035319582	"l"	"present"	"sp."	"verified"	90	4407.47	50	1000	1	48.9718888888889	"Niskin bottle"	"phytoplankton"	50						
50	"iopan.pl"	"cells/l"	"Leucocryptos marina"	2011	"MOSJ2011"	"KB2"	"MOSJ11-96"	"Occurrence"	979.437777777778	1	0.0010209939035319582	"l"	"present"		"verified"	90	4407.47	50	1000	1	48.9718888888889	"Niskin bottle"	"phytoplankton"	50						
0	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-79"	"Occurrence"	502.515625	50	0.09949939367556977	"l"	"present"	"sp."	"verified"	20	321.61	10	200	32	804.025	"Niskin bottle"	"microplankton"							
0	"iopan.pl"	"cells/l"	"Protoperidinium"	2011	"MOSJ2011"	"KB3"	"MOSJ11-79"	"Occurrence"	1.35815033783784	1	0.7362955131992165	"l"	"present"	"sp."	"verified"	148	321.61	10	200	32	2.17304054054054	"Niskin bottle"	"microplankton"							
0	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2011	"MOSJ2011"	"KB3"	"MOSJ11-79"	"Occurrence"	1.35815033783784	1	0.7362955131992165	"l"	"present"		"verified"	148	321.61	10	200	32	2.17304054054054	"Niskin bottle"	"microplankton"							
5	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-78"	"Occurrence"	670.020833333333	50	0.07462454525667735	"l"	"present"	"sp."	"verified"	15	321.61	10	200	32	1072.03333333333	"Niskin bottle"	"microplankton"	5						
5	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB3"	"MOSJ11-78"	"Occurrence"	1.30523538961039	1	0.7661453313018873	"l"	"present"		"verified"	154	321.61	10	200	32	2.08837662337662	"Niskin bottle"	"microplankton"	5						
5	"iopan.pl"	"cells/l"	"Dictyocha speculum"	2011	"MOSJ2011"	"KB3"	"MOSJ11-78"	"Occurrence"	1.30523538961039	1	0.7661453313018873	"l"	"present"		"verified"	154	321.61	10	200	32	2.08837662337662	"Niskin bottle"	"microplankton"	5						
5	"iopan.pl"	"cells/l"	"Phalacroma rotundatum"	2011	"MOSJ2011"	"KB3"	"MOSJ11-78"	"Occurrence"	1.30523538961039	1	0.7661453313018873	"l"	"present"	"Old Dinophysis rotundata"	"verified"	154	321.61	10	200	32	2.08837662337662	"Niskin bottle"	"microplankton"	5						
5	"iopan.pl"	"cells/l"	"Dinophysis contracta"	2011	"MOSJ2011"	"KB3"	"MOSJ11-78"	"Occurrence"	1.30523538961039	1	0.7661453313018873	"l"	"present"	"old Phalacroma contractum"	"verified"	154	321.61	10	200	32	2.08837662337662	"Niskin bottle"	"microplankton"	5						
5	"iopan.pl"	"cells/l"	"Protoperidinium pyriforme"	2011	"MOSJ2011"	"KB3"	"MOSJ11-78"	"Occurrence"	1.30523538961039	1	0.7661453313018873	"l"	"present"		"verified"	154	321.61	10	200	32	2.08837662337662	"Niskin bottle"	"microplankton"	5						
10	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	528.963815789474	50	0.0945244239917913	"l"	"present"	"sp."	"verified"	19	321.61	10	200	32	846.342105263158	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Dinophyceae"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	2.57700320512821	2	0.7760952706694443	"l"	"present"	"Non det."	"verified"	156	321.61	10	200	32	4.12320512820513	"Niskin bottle"	"microplankton"	10			"Dinoflagellatae"	"class"	"flagellate"	
10	"iopan.pl"	"cells/l"	"Spirotrichea"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	1.2885016025641	1	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	2.06160256410256	"Niskin bottle"	"microplankton"	10	"indet."	"Spirotrichea non det."				
10	"iopan.pl"	"cells/l"	"Strombidium"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	16.7505208333333	13	0.7760952706694443	"l"	"present"	"sp."	"verified"	156	321.61	10	200	32	26.8008333333333	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Phalacroma rotundatum"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	9.01951121794872	7	0.7760952706694443	"l"	"present"	"Old Dinophysis rotundata"	"verified"	156	321.61	10	200	32	14.431217948718	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Protoperidinium"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	5.15400641025641	4	0.7760952706694443	"l"	"present"	"sp. cf p.cerasus"	"verified"	156	321.61	10	200	32	8.24641025641026	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Scrippsiella trochoidea"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	3.86550480769231	3	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	6.18480769230769	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Didinium gargantua"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	1.2885016025641	1	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	2.06160256410256	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	1.2885016025641	1	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	2.06160256410256	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Ptychocylis acuta"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	3.86550480769231	3	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	6.18480769230769	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Protoperidinium pellucidum"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	6.44250801282051	5	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	10.3080128205128	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Dictyocha speculum"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	2.57700320512821	2	0.7760952706694443	"l"	"present"		"verified"	156	321.61	10	200	32	4.12320512820513	"Niskin bottle"	"microplankton"	10						
10	"iopan.pl"	"cells/l"	"Leegaardiella"	2011	"MOSJ2011"	"KB3"	"MOSJ11-77"	"Occurrence"	1.2885016025641	1	0.7760952706694443	"l"	"present"	"sp."	"verified"	156	321.61	10	200	32	2.06160256410256	"Niskin bottle"	"microplankton"	10						
20	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-75"	"Occurrence"				"l"	"present"	"20-0"	"incalculable"							"Handnet"	"handnet"	20						
20	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB3"	"MOSJ11-75"	"Occurrence"				"l"	"present"	"20-0"	"incalculable"							"Handnet"	"handnet"	20						
20	"iopan.pl"	"cells/l"	"Licmophora gracilis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-75"	"Occurrence"				"l"	"present"	"20-0"	"incalculable"							"Handnet"	"handnet"	20						
0	"iopan.pl"	"cells/l"	"Pseudo-nitzschia pungens"	2011	"MOSJ2011"	"KB3"	"MOSJ11-74"	"Occurrence"	1985.24691358025	5	0.0025185784024128605	"l"	"present"		"verified"	81	321.61	10	1000	1	19.8524691358025	"Niskin bottle"	"phytoplankton"							
0	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-74"	"Occurrence"	397.049382716049	1	0.0025185784024128605	"l"	"present"	"sp."	"verified"	81	321.61	10	1000	1	3.97049382716049	"Niskin bottle"	"phytoplankton"							
0	"iopan.pl"	"cells/l"	"Dinophyceae"	2011	"MOSJ2011"	"KB3"	"MOSJ11-74"	"Occurrence"	1191.14814814815	3	0.0025185784024128605	"l"	"present"	"cyst"	"verified"	81	321.61	10	1000	1	11.9114814814815	"Niskin bottle"	"phytoplankton"				"Dinoflagellatae"	"class"	"flagellate"	
5	"iopan.pl"	"cells/l"	"Tintinnopsis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-73"	"Occurrence"	259.362903225806	1	0.0038556015049283293	"l"	"present"	"sp."	"verified"	124	321.61	10	1000	1	2.59362903225806	"Niskin bottle"	"phytoplankton"	5						
5	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB3"	"MOSJ11-73"	"Occurrence"	259.362903225806	1	0.0038556015049283293	"l"	"present"		"verified"	124	321.61	10	1000	1	2.59362903225806	"Niskin bottle"	"phytoplankton"	5						
10	"iopan.pl"	"cells/l"	"Nitzschia"	2011	"MOSJ2011"	"KB3"	"MOSJ11-72"	"Occurrence"	331.556701030928	1	0.003016075370790709	"l"	"present"	"sp."	"verified"	97	321.61	10	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10						
10	"iopan.pl"	"cells/l"	"Lennoxia faveolata"	2011	"MOSJ2011"	"KB3"	"MOSJ11-72"	"Occurrence"	331.556701030928	1	0.003016075370790709	"l"	"present"		"verified"	97	321.61	10	1000	1	3.31556701030928	"Niskin bottle"	"phytoplankton"	10						
25	"iopan.pl"	"cells/l"	"Dinophyceae"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	730.931818181818	2	0.0027362333260781695	"l"	"present"	"Non det."	"verified"	88	321.61	10	1000	1	7.30931818181818	"Niskin bottle"	"phytoplankton"	25			"Dinoflagellatae"	"class"	"flagellate"	
25	"iopan.pl"	"cells/l"	"Strombidium"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	365.465909090909	1	0.0027362333260781695	"l"	"present"	"sp."	"verified"	88	321.61	10	1000	1	3.65465909090909	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Acanthostomella norvegica"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	365.465909090909	1	0.0027362333260781695	"l"	"present"		"verified"	88	321.61	10	1000	1	3.65465909090909	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Lohmanniella oviformis"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	730.931818181818	2	0.0027362333260781695	"l"	"present"		"verified"	88	321.61	10	1000	1	7.30931818181818	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Foissneridium constrictum"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	365.465909090909	1	0.0027362333260781695	"l"	"present"	"Old Strombidium constrictum"	"verified"	88	321.61	10	1000	1	3.65465909090909	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Parafavella obtusangula"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	365.465909090909	1	0.0027362333260781695	"l"	"present"		"verified"	88	321.61	10	1000	1	3.65465909090909	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Gymnodinium"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	21605.2450980392	5	0.00023142528480057717	"l"	"present"	"sp. 5-10um"	"verified"	102	4407.47	10	1000	1	216.052450980392	"Niskin bottle"	"phytoplankton"	25						
25	"iopan.pl"	"cells/l"	"Emiliania huxleyi"	2011	"MOSJ2011"	"KB3"	"MOSJ11-71"	"Occurrence"	4321.04901960784	1	0.00023142528480057717	"l"	"present"		"verified"	102	4407.47	10	1000	1	43.2104901960784	"Niskin bottle"	"phytoplankton"	25						
