"scientificName"	"basisOfRecord"	"occurrenceID"
"Chaetoceros teres"	"Occurrence"	64
"Chaetoceros wighamii"	"Occurrence"	65
"Chlamydomonadaceae"	"Occurrence"	66
"Chlamydomonas"	"Occurrence"	67
"Chlorophyceae"	"Occurrence"	68
"Chlorophyta"	"Occurrence"	69
"Choanoflagellatea"	"Occurrence"	70
"Choanoflagellida"	"Occurrence"	71
"Chrysochromulina"	"Occurrence"	72
"Chrysophyceae"	"Occurrence"	73
"Chrysophyceae cyst 1"	"Occurrence"	74
"Chrysotila carterae"	"Occurrence"	75
"Chytridiomycetes"	"Occurrence"	76
"Ciliata"	"Occurrence"	77
"Ciliophora"	"Occurrence"	78
"Coccolithales"	"Occurrence"	79
"Coccolithophora"	"Occurrence"	80
"Coccolithus pelagicus"	"Occurrence"	81
"Cochlodinium"	"Occurrence"	82
"Cochlodinium polykrikoides"	"Occurrence"	83
"Cochlodinium pulchellum"	"Occurrence"	84
"Commation"	"Occurrence"	85
"Commation cryoporinum"	"Occurrence"	86
"Conticriba"	"Occurrence"	87
"Conticribra"	"Occurrence"	88
"Conticribra weissflogii"	"Occurrence"	89
"Corethron"	"Occurrence"	90
"Corethron criophilum"	"Occurrence"	91
"Corethron hystrix"	"Occurrence"	92
"Corethron pennatum"	"Occurrence"	93
"Coronosphaera"	"Occurrence"	94
"Coscinodiscus"	"Occurrence"	95
"Coxiella"	"Occurrence"	96
"Coxliella"	"Occurrence"	97
"Craspedopleura kryophila"	"Occurrence"	98
"Cryptomonas"	"Occurrence"	99
"Cryptophyceae"	"Occurrence"	100
"Cryptophyta"	"Occurrence"	101
"Cyclotella"	"Occurrence"	102
"Cyclotella choctawhatcheeana"	"Occurrence"	103
"Cyclotrichium"	"Occurrence"	104
"Cylindrotheca closterium"	"Occurrence"	105
"Detonula"	"Occurrence"	106
"Diaphanoeca pedicellata"	"Occurrence"	107
"Dicroerisma"	"Occurrence"	108
"Dicroerisma psilonereiella"	"Occurrence"	109
"Dictyocha speculum"	"Occurrence"	110
"Dictyochophyceae"	"Occurrence"	111
"Didinium"	"Occurrence"	112
"Didinium gargantua"	"Occurrence"	113
"Didinium nasutum"	"Occurrence"	114
"Dinobryon balticum"	"Occurrence"	115
"Dinobryon"	"Occurrence"	116
"Dinobryon faculiferum"	"Occurrence"	117
"Dinoflagellata"	"Occurrence"	118
"Dinophyceae"	"Occurrence"	119
"Dinophysis acuminata"	"Occurrence"	120
"Dinophysis arctica"	"Occurrence"	121
"Dinophysis"	"Occurrence"	122
"Dinophysis contracta"	"Occurrence"	123
"Dinophysis hastata"	"Occurrence"	124
"Dinophysis norvegica"	"Occurrence"	125
"Dinophysis ovum"	"Occurrence"	126
"Diploneis"	"Occurrence"	127
"Diploneis littoralis"	"Occurrence"	128
"Diploneis littoralis var. clathrata"	"Occurrence"	129
"Diplopelta bomba"	"Occurrence"	130
"Dunaliella"	"Occurrence"	131
"Dunaliella salina"	"Occurrence"	132
"Ebria tripartita"	"Occurrence"	133
"Emiliania huxleyi"	"Occurrence"	134
"Enigma aculeata"	"Occurrence"	135
"Ensiculifera carinata"	"Occurrence"	136
"Entomoneis"	"Occurrence"	137
"Entomoneis gigantea var. septentrionalis"	"Occurrence"	138
"Entomoneis kjellmanii"	"Occurrence"	139
"Entomoneis kjellmanii var. kariana"	"Occurrence"	140
"Entomoneis paludosa"	"Occurrence"	141
"Eucampia groenlandica"	"Occurrence"	142
"Euglena"	"Occurrence"	143
"Euglenoidea"	"Occurrence"	144
"Eukaryota"	"Occurrence"	145
"Eukaryota incertae sedis"	"Occurrence"	146
"Euplotes"	"Occurrence"	147
"Eutintinnus apertus"	"Occurrence"	148
"Eutintinnus"	"Occurrence"	149
"Eutintinnus inguilinus"	"Occurrence"	150
"Eutreptia"	"Occurrence"	151
"Eutreptiella"	"Occurrence"	152
"Fibrocapsa japonica"	"Occurrence"	153
"Foissneridium constrictum"	"Occurrence"	154
"Foraminifera"	"Occurrence"	155
"Fossula arctica"	"Occurrence"	156
"Fossula"	"Occurrence"	157
"Fragilariopsis"	"Occurrence"	158
"Fragilariopsis cylindrus"	"Occurrence"	159
"Fragilariopsis nana"	"Occurrence"	160
"Fragilariopsis oceanica"	"Occurrence"	161
"Fragilariopsis pseudonana"	"Occurrence"	162
"Fragilariopsis reginae-jahniae"	"Occurrence"	163
"Globigerinoides"	"Occurrence"	164
"Gonyaulax"	"Occurrence"	165
"Gonyaulax gracilis"	"Occurrence"	166
"Gonyaulax scrippsae"	"Occurrence"	167
"Gonyaulax spinifera"	"Occurrence"	168
"Grammatophora"	"Occurrence"	169
"Gymnodiniales"	"Occurrence"	170
"Gymnodinium arcticum"	"Occurrence"	171
"Gymnodinium"	"Occurrence"	172
"Gymnodinium bipes"	"Occurrence"	173
"Gymnodinium breve"	"Occurrence"	174
"Gymnodinium elongatum"	"Occurrence"	175
"Gymnodinium galatheanum"	"Occurrence"	176
"Gymnodinium galeatum"	"Occurrence"	177
"Gymnodinium gracilentum"	"Occurrence"	178
"Gymnodinium granii"	"Occurrence"	179
"Gymnodinium heterostriatum"	"Occurrence"	180
"Gymnodinium simplex"	"Occurrence"	181
"Gymnodinium wulffii"	"Occurrence"	182
"Gyrodinium"	"Occurrence"	183
"Gyrodinium estuariale"	"Occurrence"	184
"Gyrodinium flagellare"	"Occurrence"	185
"Gyrodinium formosum"	"Occurrence"	186
"Gyrodinium fusiforme"	"Occurrence"	187
"Gyrodinium grave"	"Occurrence"	188
"Gyrodinium lachryma"	"Occurrence"	189
"Gyrodinium nasutum"	"Occurrence"	190
"Gyrodinium ovatum"	"Occurrence"	191
"Gyrodinium pepo"	"Occurrence"	192
"Gyrodinium pingue"	"Occurrence"	193
"Gyrodinium spirale"	"Occurrence"	194
"Gyrodinium wulffii"	"Occurrence"	195
"Gyrosigma"	"Occurrence"	196
"Gyrosigma concilians"	"Occurrence"	197
"Gyrosigma fasciola"	"Occurrence"	198
"Halosphaera"	"Occurrence"	199
"Halosphaera viridis"	"Occurrence"	200
"Hantzschia weyprechtii"	"Occurrence"	201
"Haslea"	"Occurrence"	202
"Haslea crucigeroides"	"Occurrence"	203
"Helicostomella"	"Occurrence"	204
"Heliozoa"	"Occurrence"	205
"Hemiselmis"	"Occurrence"	206
"Hemiselmis rufescens"	"Occurrence"	207
"Heterocapsa arctica"	"Occurrence"	208
"Heterocapsa"	"Occurrence"	209
"Heterocapsa minima"	"Occurrence"	210
"Heterocapsa rotundata"	"Occurrence"	211
"Heterocapsa triquetra"	"Occurrence"	212
"Hillea"	"Occurrence"	213
"Hillea fusiformis"	"Occurrence"	214
"Karlodinium"	"Occurrence"	215
"Katodinium"	"Occurrence"	216
"Katodinium glaucum"	"Occurrence"	217
"Kurpiszia kryokonites"	"Occurrence"	218
"Laboea strobila"	"Occurrence"	219
"Lauderia annulata"	"Occurrence"	220
"Leegaardiella"	"Occurrence"	221
"Leegaardiella ovalis"	"Occurrence"	222
"Leegaardiella sol"	"Occurrence"	223
"Lennoxia faveolata"	"Occurrence"	224
"Leprotintinnus"	"Occurrence"	225
"Leptocylindrus danicus"	"Occurrence"	226
"Leptocylindrus minimus"	"Occurrence"	227
"Lessardia elongata"	"Occurrence"	228
"Leucocryptos"	"Occurrence"	229
"Leucocryptos marina"	"Occurrence"	230
"Leucocryptos remigera"	"Occurrence"	231
"Licmophora"	"Occurrence"	232
"Licmophora gracilis"	"Occurrence"	233
"Lohmanniella oviformis"	"Occurrence"	234
"Mamiella"	"Occurrence"	235
"Mamiellales"	"Occurrence"	236
"Mantoniella"	"Occurrence"	237
"Mantoniella squamata"	"Occurrence"	238
"Melosira arctica"	"Occurrence"	239
"Melosira nummuloides"	"Occurrence"	240
"Meringosphaera"	"Occurrence"	241
"Meringosphaera mediterranea"	"Occurrence"	242
"Meringosphaera tenerrima"	"Occurrence"	243
"Mesodinium rubrum"	"Occurrence"	244
"Micracanthodinium claytonii"	"Occurrence"	245
"Micromonas"	"Occurrence"	246
"Monosiga"	"Occurrence"	247
"Monosiga marina"	"Occurrence"	248
"Nannochloris"	"Occurrence"	249
"Navicula algida"	"Occurrence"	250
"Navicula"	"Occurrence"	251
"Navicula directa"	"Occurrence"	252
"Navicula distans"	"Occurrence"	253
"Navicula granii"	"Occurrence"	254
"Navicula kariana"	"Occurrence"	255
"Navicula pelagica"	"Occurrence"	256
"Navicula septentrionalis"	"Occurrence"	257
"Navicula superba"	"Occurrence"	258
"Navicula transitans"	"Occurrence"	259
"Navicula transitans var. derasa"	"Occurrence"	260
"Navicula transitans var. transitans"	"Occurrence"	261
"Navicula trigonocephala"	"Occurrence"	262
"Navicula valida"	"Occurrence"	263
"Navicula valida var. minuta"	"Occurrence"	264
"Navicula vanhoeffenii"	"Occurrence"	265
"Nefroselmis"	"Occurrence"	266
"Nematopsides vigilans"	"Occurrence"	267
"Nephroselmis"	"Occurrence"	268
"Nitzschia arctica"	"Occurrence"	269
"Nitzschia"	"Occurrence"	270
"Nitzschia brebissonii"	"Occurrence"	271
"Nitzschia frigida"	"Occurrence"	272
"Nitzschia granii"	"Occurrence"	273
"Nitzschia laevissima"	"Occurrence"	274
"Nitzschia levissima"	"Occurrence"	275
"Nitzschia longissima"	"Occurrence"	276
"Nitzschia neofrigida"	"Occurrence"	277
"Nitzschia promare"	"Occurrence"	278
"Ochrophyta"	"Occurrence"	279
"Odontella aurita"	"Occurrence"	280
"Oligotrichea"	"Occurrence"	281
"Oligotrichida"	"Occurrence"	282
"Olisthodiscus"	"Occurrence"	283
"Ollicola vangoorii"	"Occurrence"	284
"Oxyrrhis"	"Occurrence"	285
"Oxyrrhis marina"	"Occurrence"	286
"Oxytoxum"	"Occurrence"	287
"Oxytoxum gracile"	"Occurrence"	288
"Pachysphaera"	"Occurrence"	289
"Pachysphaera pelagica"	"Occurrence"	290
"Parafavella acuta"	"Occurrence"	291
"Parafavella"	"Occurrence"	292
"Parafavella elegans"	"Occurrence"	293
"Parafavella gigantea"	"Occurrence"	294
"Parafavella obtusangula"	"Occurrence"	295
"Parapedinella"	"Occurrence"	296
"Parapedinella reticulata"	"Occurrence"	297
"Parvicorbicula"	"Occurrence"	298
"Pauliella taeniata"	"Occurrence"	299
"Pavlova"	"Occurrence"	300
"Pavlova lutheri"	"Occurrence"	301
"Pelagococcus"	"Occurrence"	302
"Pennales"	"Occurrence"	303
"Pentapharsodinium"	"Occurrence"	304
"Peridinea"	"Occurrence"	305
"Peridiniella"	"Occurrence"	306
"Peridiniella catenata"	"Occurrence"	307
"Phaeocystis"	"Occurrence"	308
"Phaeocystis pouchetii"	"Occurrence"	309
"Phaeodactylum"	"Occurrence"	310
"Phalacroma rotundatum"	"Occurrence"	311
"Pinnularia"	"Occurrence"	312
"Pinnularia bihastata"	"Occurrence"	313
"Pinnularia quadratarea var. capitata"	"Occurrence"	314
"Pinnularia semiinflata"	"Occurrence"	315
"Pinnularia trigonocephala"	"Occurrence"	316
"Plagioselmis"	"Occurrence"	317
"Plagioselmis prolonga"	"Occurrence"	318
"Pleurochrysis"	"Occurrence"	319
"Pleuronematine scuticociliates"	"Occurrence"	320
"Pleurosigma"	"Occurrence"	321
"Pleurosigma siberica"	"Occurrence"	322
"Pleurosigma stuxbergii"	"Occurrence"	323
"Podolampas"	"Occurrence"	324
"Polarella glacialis"	"Occurrence"	325
"Polyfibula sphyrelata"	"Occurrence"	326
"Polykrikos"	"Occurrence"	327
"Porosira glacialis"	"Occurrence"	328
"Prasinophyceae"	"Occurrence"	329
"Preperidinium meunierii"	"Occurrence"	330
"Proboscia alata"	"Occurrence"	331
"Proboscia subarctica"	"Occurrence"	332
"Pronoctiluca"	"Occurrence"	333
"Pronoctiluca pelagica"	"Occurrence"	334
"Prorocentrum"	"Occurrence"	335
"Prorocentrum cordatum"	"Occurrence"	336
"Prorocentrum minimum"	"Occurrence"	337
"Prorodon"	"Occurrence"	338
"Prostomatea"	"Occurrence"	339
"Proterythropsis vigilans"	"Occurrence"	340
"Protoceratium reticulatum"	"Occurrence"	341
"Protoperidinium"	"Occurrence"	342
"Protoperidinium bipes"	"Occurrence"	343
"Protoperidinium breve"	"Occurrence"	344
"Protoperidinium brevipes"	"Occurrence"	345
"Protoperidinium cerasus"	"Occurrence"	346
"Protoperidinium conicum"	"Occurrence"	347
"Protoperidinium depressum"	"Occurrence"	348
"Protoperidinium granii"	"Occurrence"	349
"Protoperidinium islandicum"	"Occurrence"	350
"Protoperidinium monacanthum"	"Occurrence"	351
"Protoperidinium oblongum"	"Occurrence"	352
"Protoperidinium oceanicum"	"Occurrence"	353
"Protoperidinium ovatum"	"Occurrence"	354
"Protoperidinium pallidum"	"Occurrence"	355
"Protoperidinium pellucidum"	"Occurrence"	356
"Protoperidinium pyriforme"	"Occurrence"	357
"Protoperidinium steinii"	"Occurrence"	358
"Prymnesiophyceae"	"Occurrence"	359
"Pseudogomphonema arcticum"	"Occurrence"	360
"Pseudogomphonema"	"Occurrence"	361
"Pseudo-nitzschia"	"Occurrence"	362
"Pseudo-nitzschia delicatissima"	"Occurrence"	363
"Pseudo-nitzschia granii"	"Occurrence"	364
"Pseudo-nitzschia lineola"	"Occurrence"	365
"Pseudo-nitzschia pseudodelicatissima"	"Occurrence"	366
"Pseudo-nitzschia pungens"	"Occurrence"	367
"Pseudo-nitzschia seriata"	"Occurrence"	368
"Pseudo-nitzschia turgidula"	"Occurrence"	369
"Pseudopedinella"	"Occurrence"	370
"Pseudopedinella pyriformis"	"Occurrence"	371
"Pseudoscourfieldia marina"	"Occurrence"	372
"Pterosperma"	"Occurrence"	373
"Pterosperma vanhoeffenii"	"Occurrence"	374
"Ptychocylis acuta"	"Occurrence"	375
"Ptychocylis obtusa"	"Occurrence"	376
"Pyramimonas"	"Occurrence"	377
"Pyramimonas nansenii"	"Occurrence"	378
"Pyramimonas virginica"	"Occurrence"	379
"Radiozoa"	"Occurrence"	380
"Raphidophyceae"	"Occurrence"	381
"Rhizosolenia"	"Occurrence"	382
"Rhizosolenia borealis"	"Occurrence"	383
"Rhizosolenia hebetata"	"Occurrence"	384
"Rhizosolenia semispina"	"Occurrence"	385
"Rhizosolenia setigera"	"Occurrence"	386
"Rhodomonas"	"Occurrence"	387
"Salpingella acuminata"	"Occurrence"	388
"Salpingella laminata"	"Occurrence"	389
"Salpingella secata"	"Occurrence"	390
"Salpingoeca inquillata"	"Occurrence"	391
"Scrippsiella"	"Occurrence"	392
"Scrippsiella trochoidea"	"Occurrence"	393
"Scuticociliatia"	"Occurrence"	394
"Skeletonema costatum"	"Occurrence"	395
"Spirotrichea"	"Occurrence"	396
"Statocysta of Dinobryon"	"Occurrence"	397
"Stauroneis"	"Occurrence"	398
"Stauroneis radissonii"	"Occurrence"	399
"Stenoneis"	"Occurrence"	400
"Stenoneis inconspicua"	"Occurrence"	401
"Stenoneis obtuserostrata"	"Occurrence"	402
"Strobilidium"	"Occurrence"	403
"Strobilidium conicum"	"Occurrence"	404
"Strobilidium spiralis"	"Occurrence"	405
"Strombidiidae"	"Occurrence"	406
"Strombidium"	"Occurrence"	407
"Strombidium conicum"	"Occurrence"	408
"Strombidium constrictum"	"Occurrence"	409
"Strombidium spirale"	"Occurrence"	410
"Strombidium sulcatum"	"Occurrence"	411
"Strombidium vestitum"	"Occurrence"	412
"Strombilidium"	"Occurrence"	413
"Synedropsis"	"Occurrence"	414
"Synedropsis hyperborea"	"Occurrence"	415
"Takayama pulchella"	"Occurrence"	416
"Teleaulax acuta"	"Occurrence"	417
"Teleaulax amphioxeia"	"Occurrence"	418
"Teleaulax"	"Occurrence"	419
"Telonema antarctica"	"Occurrence"	420
"Telonema"	"Occurrence"	421
"Telonema subtile"	"Occurrence"	422
"Telonema subtilis"	"Occurrence"	423
"Thalassionema nitzschioides"	"Occurrence"	424
"Thalassiosira angulata"	"Occurrence"	425
"Thalassiosira anguste-lineata"	"Occurrence"	426
"Thalassiosira antarctica"	"Occurrence"	427
"Thalassiosira antarctica/pacifica"	"Occurrence"	428
"Thalassiosira antarctica var. borealis"	"Occurrence"	429
"Thalassiosira"	"Occurrence"	430
"Thalassiosira bioculata"	"Occurrence"	431
"Thalassiosira bioculata var. exigua"	"Occurrence"	432
"Thalassiosira constricta"	"Occurrence"	433
"Thalassiosira gracilis var. expecta"	"Occurrence"	434
"Thalassiosira gravida"	"Occurrence"	435
"Thalassiosira hyalina"	"Occurrence"	436
"Thalassiosira nordenskioeldii"	"Occurrence"	437
"Thalassiosira pacifica"	"Occurrence"	438
"Thalassiosira rotula"	"Occurrence"	439
"Tiarina"	"Occurrence"	440
"Tiarina fusus"	"Occurrence"	441
"Tintinidae"	"Occurrence"	442
"Tintinnidae"	"Occurrence"	443
"Tintinnopsis"	"Occurrence"	444
"Tintinnopsis beroidea"	"Occurrence"	445
"Tintinnus"	"Occurrence"	446
"Tontonia"	"Occurrence"	447
"Torodinium"	"Occurrence"	448
"Torodinium robustum"	"Occurrence"	449
"Trachyneis"	"Occurrence"	450
"Tripos arcticus"	"Occurrence"	451
"Tripos"	"Occurrence"	452
"Tripos elongatum"	"Occurrence"	453
"Tripos fusus"	"Occurrence"	454
"Tripos lineatum"	"Occurrence"	455
"Tripos longipes"	"Occurrence"	456
"Tripos macroceros"	"Occurrence"	457
"Trochiscia"	"Occurrence"	458
"Tropidoneis"	"Occurrence"	459
"Uronema"	"Occurrence"	460
"Uronema marinum"	"Occurrence"	461
"Urotricha"	"Occurrence"	462
