"number"	"depth_m_distance_from_cm"	"magnification"	"identifiedBy"	"organismQuantityType"	"scientificName"	"year"	"expedition"	"locationID"	"fieldNumber"	"basisOfRecord"	"organismQuantity"	"individualCount"	"sampleSizeValue"	"sampleSizeUnit"	"occurrenceStatus"	"quantificationStatus"	"fieldsInCount"	"maxFields"	"takenVolume"	"bottleVolume"	"initialVolume"	"cellsInChamber"	"gear"	"sampletype"	"previousIdentifications"	"lifeStage"	"identificationQualifier"	"taxonRank"	"add"	"foto"	"verbatimTaxon"	"organismRemarks"	"occurrenceRemarks"	"organismScope"
82	0	10	"MR"	"cells/l"	"Pseudo-nitzschia seriata"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	35377.1	55	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	1768.86	"Niskin bottle"	"phytoplankton"					"in division"					
82	0	60	"MR"	"cells/l"	"Pseudo-nitzschia"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	16429.7383	8	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	821.49	"Niskin bottle"	"phytoplankton"			"sp."	"species"						
82	0	10	"MR"	"cells/l"	"Thalassiosira"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	56603.36	88	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	2830.17	"Niskin bottle"	"phytoplankton"	"Thalassiosira gravida/antarctica"		"spp. gravida/antarctica"	"species"						
82	0	60	"MR"	"cells/l"	"Thalassiosira antarctica var. borealis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	7921.481	3	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	396.07	"Niskin bottle"	"phytoplankton"	"Thalassiosira antarctica/gravida"	"hypnospores"								
82	0	10	"MR"	"cells/l"	"Thalassiosira"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	114493.16	178	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	5724.66	"Niskin bottle"	"phytoplankton"			"sp. cf. T. hyalina"	"species"						
82	0	10	"MR"	"cells/l"	"Thalassiosira nordenskioeldii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	207760.06	323	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	10388	"Niskin bottle"	"phytoplankton"										
82	0	10	"MR"	"cells/l"	"Parafavella obtusangula"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	123.6962	1	0.008084325736140045	"l"	"present"	"verified"	52	321.61	50	1000	1	6.18	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Uronema marinum"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	6161.1519	3	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	308.06	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Bicosta spinifera"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	7921.481	3	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	396.07	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Monosiga marina"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	39607.4048	15	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	1980.37	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Leucocryptos marina"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Telonema subtile"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Dictyocha speculum"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Gymnodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	10561.9746	4	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	528.1	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"		"sp."	"species"						
82	0	60	"MR"	"cells/l"	"Gymnodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	5280.9873	2	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	264.05	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"		"sp."	"species"						
82	0	60	"MR"	"cells/l"	"Gymnodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2640.4937	1	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	132.02	"Niskin bottle"	"phytoplankton"			"sp."	"species"		"'+"				
82	0	10	"MR"	"cells/l"	"Gyrodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	123.6962	1	0.008084325736140045	"l"	"present"	"verified"	52	321.61	50	1000	1	6.18	"Niskin bottle"	"phytoplankton"			"cf. G. fusiforme"							
82	0	10	"MR"	"cells/l"	"Gyrodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	618.4808	5	0.008084325736140045	"l"	"present"	"verified"	52	321.61	50	1000	1	30.92	"Niskin bottle"	"phytoplankton"			"cf. G. spirale"							
82	0	60	"MR"	"cells/l"	"Oxyrrhis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"			"sp."	"species"						
82	0	60	"MR"	"cells/l"	"Scrippsiella"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"			"sp."	"species"						
82	0	60	"MR"	"cells/l"	"Azadinium spinosum"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2640.4937	1	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	132.02	"Niskin bottle"	"phytoplankton"						"'+"				
82	0	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	42247.8984	16	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	2112.39	"Niskin bottle"	"phytoplankton"	"Flagellates"		"indet."							
82	0	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"	"Biflagellates"		"indet."		"rys."					
82	0	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	2053.7173	1	0.00048692193799740427	"l"	"present"	"verified"	162	16635.11	50	1000	1	102.69	"Niskin bottle"	"phytoplankton"	"Flagellates"		"indet."		"rys."					
82	0	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	3227211.34	97	0.00003005690975292619	"l"	"present"	"verified"	10	16635.11	50	1000	1	161360.57	"Niskin bottle"	"phytoplankton"										
82	0	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	489811.5722	53	0.00010820487511053429	"l"	"present"	"verified"	36	16635.11	50	1000	1	24490.58	"Niskin bottle"	"phytoplankton"					"bad shape"					
82	0	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	34326.4175	13	0.00037871706288687	"l"	"present"	"verified"	126	16635.11	50	1000	1	1716.32	"Niskin bottle"	"phytoplankton"					"flagella form"					
82	0	10	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-082"	"Occurrence"	123.6962	1	0.008084325736140045	"l"	"present"	"verified"	52	321.61	50	1000	1	6.18	"Niskin bottle"	"phytoplankton"					"colony >100 cells"					
81	5	10	"MR"	"cells/l"	"Bacterosira bathyomphala"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	338.5368	3	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	16.93	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Bacterosira bathyomphala"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	225.6912	2	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	11.28	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Chaetoceros decipiens"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	1692.6842	15	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	84.63	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Chaetoceros debilis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4288.1333	38	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	214.41	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Chaetoceros furcellatus"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	201971.08	314	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	10098.55	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Chaetoceros socialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	427741.3	665	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	21387.07	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Chaetoceros socialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	24077.1329	11	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	1203.86	"Niskin bottle"	"phytoplankton"	"Chaetoceros socialis spores"	"spores"								
81	5	60	"MR"	"cells/l"	"Conticribra"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	42.3171	1	0.023631105997947825	"l"	"present"	"verified"	152	321.61	50	1000	1	2.12	"Niskin bottle"	"phytoplankton"			"sp. cf. C.weissflogii"	"species"						
81	5	10	"MR"	"cells/l"	"Entomoneis paludosa"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	1805.5298	16	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	90.28	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Eucampia groenlandica"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	1015.6105	9	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	50.78	"Niskin bottle"	"phytoplankton"					"bad shape"					
81	5	60	"MR"	"cells/l"	"Fragilariopsis cylindrus"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	363754.4053	82	0.0002254268231469464	"l"	"present"	"verified"	75	16635.11	50	1000	1	18187.72	"Niskin bottle"	"phytoplankton"	"Fragilariopsis cylindrus/oceanica"	"hypnospores"								
81	5	10	"MR"	"cells/l"	"Fragilariopsis oceanica"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	350912.2444	491	0.0013992102235627002	"l"	"present"	"verified"	9	321.61	50	1000	1	17545.61	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Navicula"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"	"Navicula sp. >30um"		"sp."	"species"						
81	5	10	"MR"	"cells/l"	"Pauliella taeniata"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	198111.76	308	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	9905.59	"Niskin bottle"	"phytoplankton"	"Pauliella taeniata/Fragilariopsis cylindrus"									
81	5	60	"MR"	"cells/l"	"Pseudo-nitzschia delicatissima"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Pseudo-nitzschia granii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	28454.7934	13	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	1422.74	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Pseudo-nitzschia seriata"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	34140.1385	69	0.002021081434035011	"l"	"present"	"verified"	13	321.61	50	1000	1	1707.01	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Thalassiosira"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	71397.42	111	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	3569.87	"Niskin bottle"	"phytoplankton"	"Thalassiosira gravida/antarctica"		"spp. gravida/antarctica"	"species"						
81	5	10	"MR"	"cells/l"	"Thalassiosira"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	75899.96	118	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	3795	"Niskin bottle"	"phytoplankton"			"sp. cf. T. hyalina"	"species"						
81	5	10	"MR"	"cells/l"	"Thalassiosira nordenskioeldii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	77186.4	120	0.0015546780261807777	"l"	"present"	"verified"	10	321.61	50	1000	1	3859.32	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Thalassiosira"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"			"sp."	"species"						
81	5	10	"MR"	"cells/l"	"Parafavella obtusangula"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	112.8456	1	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	5.64	"Niskin bottle"	"phytoplankton"										
81	5	10	"MR"	"cells/l"	"Ciliophora"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	338.5368	3	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	16.93	"Niskin bottle"	"phytoplankton"	"Ciliophora indet. 20-30um"		"indet."							
81	5	60	"MR"	"cells/l"	"Bicosta spinifera"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	10944.1513	5	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	547.21	"Niskin bottle"	"phytoplankton"						"'+"				
81	5	60	"MR"	"cells/l"	"Monosiga marina"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	59098.4171	27	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	2954.92	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Cryptophyceae"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"	"Cryptophyceae indet. 7-10um"		"indet."							
81	5	60	"MR"	"cells/l"	"Telonema subtile"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Amphidinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"			"sp."	"species"						
81	5	60	"MR"	"cells/l"	"Dinophyceae"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"				"class"			"Encysting dinophyceae"	"flagellate"		
81	5	60	"MR"	"cells/l"	"Gymnodinium galeatum"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Gymnodinium gracilentum"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Gymnodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"		"sp."	"species"						
81	5	60	"MR"	"cells/l"	"Gymnodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	8755.3211	4	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	437.77	"Niskin bottle"	"phytoplankton"	"Gymnodinium sp. 10-20um"		"sp."	"species"						
81	5	60	"MR"	"cells/l"	"Gyrodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"			"cf. G. fusiforme"							
81	5	10	"MR"	"cells/l"	"Gyrodinium"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	789.9193	7	0.008861664749230433	"l"	"present"	"verified"	57	321.61	50	1000	1	39.5	"Niskin bottle"	"phytoplankton"			"cf. G. spirale"							
81	5	60	"MR"	"cells/l"	"Dinophyceae"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"	"Thecate dinophyceae"					"'+"				
81	5	60	"MR"	"cells/l"	"Chlamydomonadaceae"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	13132.9816	6	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	656.65	"Niskin bottle"	"phytoplankton"	"Chlamydomonadaceae indet 7-15um"		"indet."							
81	5	60	"MR"	"cells/l"	"Eukaryota incertae sedis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"	"Biflagellates"		"indet."		"rys."					
81	5	60	"MR"	"cells/l"	"Pyramimonas"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"			"sp."	"species"						
81	5	60	"MR"	"cells/l"	"Algirosphaera robusta"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	2188.8303	1	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	109.44	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	3160670.9	95	0.00003005690975292619	"l"	"present"	"verified"	10	16635.11	50	1000	1	158033.55	"Niskin bottle"	"phytoplankton"										
81	5	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	411917.0095	52	0.00012623902096229	"l"	"present"	"verified"	42	16635.11	50	1000	1	20595.85	"Niskin bottle"	"phytoplankton"					"bad shape"					
81	5	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	91930.8711	42	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	4596.54	"Niskin bottle"	"phytoplankton"					"flagella form"					
81	5	60	"MR"	"cells/l"	"Phaeocystis pouchetii"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-081"	"Occurrence"	4377.6605	2	0.00045686502824447803	"l"	"present"	"verified"	152	16635.11	50	1000	1	218.88	"Niskin bottle"	"phytoplankton"					"colony >50-100 cells"					
80	10	10	"MR"	"cells/l"	"Bacterosira bathyomphala"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	32161	46	0.0014303037840863156	"l"	"present"	"verified"	46	321.61	10	1000	1	321.61	"Niskin bottle"	"phytoplankton"										
80	10	10	"MR"	"cells/l"	"Chaetoceros decipiens"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	13783.2857	18	0.0013059295419918535	"l"	"present"	"verified"	42	321.61	10	1000	1	137.83	"Niskin bottle"	"phytoplankton"										
80	10	10	"MR"	"cells/l"	"Chaetoceros debilis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	22206.4048	29	0.0013059295419918535	"l"	"present"	"verified"	42	321.61	10	1000	1	222.06	"Niskin bottle"	"phytoplankton"										
80	10	10	"MR"	"cells/l"	"Chaetoceros furcellatus"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	421309.1	131	0.00031093560523615555	"l"	"present"	"verified"	10	321.61	10	1000	1	4213.09	"Niskin bottle"	"phytoplankton"										
80	10	10	"MR"	"cells/l"	"Chaetoceros socialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	794376.7	247	0.00031093560523615555	"l"	"present"	"verified"	10	321.61	10	1000	1	7943.77	"Niskin bottle"	"phytoplankton"										
80	10	60	"MR"	"cells/l"	"Chaetoceros socialis"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	14340.6121	2	0.00013946406125357752	"l"	"present"	"verified"	232	16635.11	10	1000	1	143.41	"Niskin bottle"	"phytoplankton"	"Chaetoceros socialis spores"	"spores"								
80	10	60	"MR"	"cells/l"	"Conticribra"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	138.625	1	0.007213706041478809	"l"	"present"	"verified"	232	321.61	10	1000	1	1.39	"Niskin bottle"	"phytoplankton"			"sp. cf. C.weissflogii"	"species"						
80	10	10	"MR"	"cells/l"	"Fragilariopsis cylindrus"	2016	"ARCEx2016"	"Atlanticstation"	"PHT-080"	"Occurrence"	456686.2	142	0.00031093560523615555	"l"	"present"	"verified"	10	321.61	10	1000	1	4566.86	"Niskin bottle"	"phytoplankton"	"Fragilariopsis cylindrus/oceanica"	"hypnospores"								
